Reel #,Atlas,Trip,Operator,Vessel / Train,Days,From,To,Departure / Season,Regions,Stops,Sea days,Route (abbrev.),Source URL
11,World Cruise,Epic Global Adventure (245 days),Oceania Cruises,Vista,245,"Miami, FL, United States","New York City, NY, United States",06 Jan 2027 - 07 Sep 2027,15,157,78,Miami → George Town → Cartagena → Panama Canal → Puerto Quetzal → Acapulco → …,https://www.virtuoso.com/advisor/brianharris/cruises/343092/epic-global-adventure
12,World Cruise,Southampton to Hong Kong (65 days),Cunard,Queen Anne®,65,"Southampton, United Kingdom","Hong Kong, China",11 Jan 2028 - 15 Mar 2028,9,19,43,Southampton → Ponta Delgada → Port Canaveral → Miami → Cartagena → Panama Canal → …,https://www.virtuoso.com/advisor/brianharris/cruises/318536/southampton-to-hong-kong
13,World Cruise,Grand Hemispheres Journey – Athens (Piraeus) to Auckland (102... (104 days),Regent Seven Seas,Seven Seas Explorer,104,"Piraeus, Greece","Auckland, New Zealand",21 Oct 2028 - 30 Jan 2029,7,59,39,Piraeus → Limassol → Haifa → Port Said → Safaga → Sharm El Sheikh → …,https://www.virtuoso.com/advisor/brianharris/cruises/339881/grand-hemispheres-journey-athens-piraeus-to-auckland
14,World Cruise,"Endless Worlds, A 128-Day Inaugural World Journey (129 days)",Explora Journeys,EXPLORA I,129,"Dubai, United Arab Emirates","Barcelona, Spain",06 Jan 2029 - 14 May 2029,11,64,52,Dubai → Khasab → Mumbai → Mormugao → Kochi → Male → …,https://www.virtuoso.com/advisor/brianharris/cruises/329860/endless-worlds-a-128-day-inaugural-world-journey
15,World Cruise,Atolls to Eastern Empires (63 days),Oceania Cruises,Vista,63,"Papeete, French Polynesia","Yokohama, Japan",08 Feb 2027 - 11 Apr 2027,4,37,23,Papeete → Huahine → Rarotonga → Alofi → Neiafu → Savusavu → …,https://www.virtuoso.com/advisor/brianharris/cruises/330561/atolls-to-eastern-empires
16,World Cruise,"Papua New Guinea, Indonesia, Patagonia, and Antarctica (72 days)",Seabourn,Seabourn Pursuit,72,"Darwin, Australia","Ushuaia, Argentina",26 Aug 2027 - 05 Nov 2027,5,47,33,Darwin → Ambon → Kokas → Misool Island → Yenwapnor → Mansuar Island → …,https://www.virtuoso.com/advisor/brianharris/cruises/338310/papua-new-guinea-indonesia-patagonia-and-antarctica
17,World Cruise,Melbourne to Portsmouth (141 days),Crystal,Crystal Symphony,141,"Melbourne, Australia","Portsmouth, United Kingdom",07 Jan 2029 - 27 May 2029,10,80,51,Melbourne → Portland → Kangaroo Island → Outer Harbour → Albany → Fremantle → …,https://www.virtuoso.com/advisor/brianharris/cruises/344927/melbourne-to-portsmouth
18,World Cruise,Star Collector – Grand South Pacific Adventure (54 days),Windstar Cruises,Star Breeze,54,"Papeete, French Polynesia","Singapore, Singapore",18 Nov 2027 - 10 Jan 2028,2,29,22,Papeete → Fakarava → Fatu Hiva → Atuona → Taiohae → Rangiroa → …,https://www.virtuoso.com/advisor/brianharris/cruises/342814/star-collector-grand-south-pacific-adventure
19,World Cruise,Hong Kong to London Grand Voyage (88 days),Azamara,Azamara Quest,88,"Hong Kong, China","Tilbury, United Kingdom",02 Apr 2027 - 28 Jun 2027,5,48,35,Hong Kong → Keelung → Ishigaki → Naha → Shanghai → Dalian → …,https://www.virtuoso.com/advisor/brianharris/cruises/344730/hong-kong-to-london-grand-voyage
20,World Cruise,"Grand Iberia, Africa, and Asia Passage (65 days)",Viking,Viking Neptune,65,"Barcelona, Spain","Tokyo, Japan",05 Jan 2028 - 09 Mar 2028,7,24,37,Barcelona → Valencia → Málaga → Cadiz → Casablanca → Funchal → …,https://www.virtuoso.com/advisor/brianharris/cruises/342494/grand-iberia-africa-and-asia-passage
21,Private Jet,Oceans and Islands of the World by Private Jet,National Geographic,Private jet,24,Honolulu,"Washington, D.C.",1/31/2027 – 2/23/2027,,12,,Honolulu → Bora Bora → Cross the International Date Line → Auckland → Adelaide → Palau → …,https://www.expeditionbucketlist.com/national-geographic-private-jet-trips
22,Private Jet,A World Less Traveled: An Expedition by Private Jet,TCS World Travel,Private jet,18,London,"Washington, D.C.",1/25/2027 – 2/11/2027,,8,,London → AlUla → Tangier → Dakar → Salvador → Uyuni Salt Flats → …,https://www.virtuoso.com/advisor/brianharris/tours/18367607/a-world-less-traveled-an-expedition-by-private-jet
23,Private Jet,The Grandest Tour – Aman Jet Expeditions,Aman Jet Expeditions,Private jet,21,Tokyo,Athens,4/11/2027 – 5/1/2027,,7,,Tokyo → Amanoi → Phuket → Paro · Bhutan → Taj Mahal · Agra → Samarkand → …,https://www.virtuoso.com/advisor/brianharris/tours/18301934/the-grandest-tour-aman-jet-expedition-2027-apr-11may-1-2027
24,Private Jet,Edges of the Living World: Asia & Oceania by Private Jet,TCS World Travel,Private jet,10,"Anchorage, Alaska",Dubai,,2,10,,Anchorage → Kanazawa → Borneo → Kakadu National Park → Papua New Guinea → Brisbane → …,https://www.virtuoso.com/advisor/brianharris/tours/18368504/edges-of-the-living-world-asia-and-oceania-by-private-jet
25,Private Jet,Uncharted Canada: A Small Group Expedition by Private Air,TCS World Travel,Private jet,14,Vancouver,Montreal,7/15/2026 – 7/28/2026,1,6,,Vancouver → Clayoquot Sound → Churchill → Halifax → Fogo Island → Montreal,https://www.virtuoso.com/advisor/brianharris/tours/18366727/uncharted-canada-a-small-group-expedition-by-private-jet
26,Private Jet,Atlantic Crossroads: A Discovery by Private Jet,National Geographic,Private jet,14,Dublin,Buenos Aires,8/8/2027 – 8/21/2027,,7,,Dublin → Funchal → Tangier → Lanzarote → Dakar → Salvador → …,https://www.expeditionbucketlist.com/national-geographic-private-jet-trips
27,Private Jet,East Gobi and the Khan Khentii: Mongolia Private Jet Adventure,Remote Lands,Private jet,7,Ikh Nart,Ulaanbaatar,,1,3,,Ikh Nart → Khan Khentii → Ulaanbaatar,https://www.virtuoso.com/advisor/brianharris/tours/15240639/east-gobi-and-the-khan-khentii-mongolia-private-jet-adventure
28,Private Jet,Far-Reaching Indonesia by Private Jet,Remote Lands,Private jet,6,Yogyakarta,Ubud,,1,6,,Yogyakarta → Borobudur → Pangkalan Bun → Baliem Valley → Raja Ampat → Ubud,https://www.virtuoso.com/advisor/brianharris/tours/13123170/far-reaching-indonesia-by-private-jet
29,Private Jet,Chasing the Aurora: A 10-Day Expedition by Private Jet,TCS World Travel,Private jet,10,"Washington, D.C.","Washington, D.C.",3/8/2027 – 3/17/2027,1,5,,Washington → Disko Bay → Bergen → Kiruna → Washington,https://www.virtuoso.com/advisor/brianharris/tours/18144972/chasing-the-aurora-a-10-day-expedition-by-private-jet
30,Rail,Rovos Rail: Pretoria-Victoria Falls,andBeyond South Africa,Rovos Rail,4,"Pretoria, South Africa","Victoria Falls, Zimbabwe",Nov 2025 – Nov 2026,1,3,,Pretoria → Hwange National Park → Victoria Falls,https://www.virtuoso.com/advisor/brianharris/tours/16517353/rovos-rail-pretoria-victoria-falls
31,Rail,Paris to Istanbul aboard Venice Simplon-Orient-Express,Belmond Trains,Venice Simplon-Orient-Express,6,"Paris, France","Istanbul, Turkey",9/25/2026 – 9/30/2026,1,4,,Paris → Budapest → Bucharest → Istanbul,https://www.virtuoso.com/advisor/brianharris/tours/17900338/paris-to-istanbul-aboard-venice-simplon-orient-express
32,Rail,"Tiger Express, Eastern & Oriental Express, a Belmond Train",Belmond Trains,Eastern & Oriental Express,7,"Singapore, Singapore","Langkawi, Malaysia",5/10/2027 – 5/16/2027,1,5,,Singapore → Gemas → Taman Negara → Penang → Langkawi,https://www.virtuoso.com/advisor/brianharris/tours/18536111/tiger-express-eastern-oriental-express-a-belmond-train
33,Rail,Japan by Luxury Train: Seven Stars in Kyushu,Abercrombie & Kent,Seven Stars in Kyushu,10,"Fukuoka, Japan","Kyoto, Japan",9/13/2026 – 9/22/2026,1,12,,Fukuoka → Yanagawa → Fukuoka → Hita → Aso → Kumamoto → …,https://www.virtuoso.com/advisor/brianharris/tours/18381035/japan-by-luxury-train-seven-stars-in-kyushu
34,Rail,Feel the Andes by Belmond in Peru,Belmond Peruvian Trains,Andean Explorer,3,"Cuzco, Peru","Arequipa, Peru",Mar 2026 – Dec 2026,1,2,,Cuzco → Arequipa,https://www.virtuoso.com/advisor/brianharris/tours/18391993/feel-the-andes-by-belmond-in-peru
35,Rail,Grand Canadian Train Journey | Vancouver to Halifax,Canada by Design,—,19,"Vancouver, BC Canada","Halifax, NS Canada",May 2025 – Sep 2026,1,10,,Vancouver → Kamloops → Banff → Lake Louise → Jasper → Toronto → …,https://www.virtuoso.com/advisor/brianharris/tours/16265810/grand-canadian-train-journey-vancouver-to-halifax
36,Rail,"Wales, Britannic Explorer, a Belmond Train",Belmond Trains,Britannic Explorer,4,"London, United Kingdom","London, United Kingdom",7/20/2026 – 7/23/2026,1,4,,London → Barmouth → Kingham → London,https://www.virtuoso.com/advisor/brianharris/tours/18535776/wales-britannic-explorer-a-belmond-train
37,Rail,Mandalay to Hsipaw: Unveiling Myanmar's Ethnic Tribes by Rail,Remote Lands,—,4,"Pyin Oo Lwin, Myanmar","Hsipaw, Myanmar",Jun 2024 – Jun 2027,1,8,,Pyin Oo Lwin → Hsipaw → Gokteik Viaduct → Pyin Oo Lwin → Hsipaw → Mandalay → …,https://www.virtuoso.com/advisor/brianharris/tours/15240976/mandalay-to-hsipaw-unveiling-myanmars-ethnic-tribes-by-rail
38,Rail,Venturing Java by Train,EXO Travel,—,10,"Jakarta, Indonesia","Bromo , Indonesia",Jan 2025 – Mar 2027,1,13,,Jakarta → Yogyakarta → Prambanan → Yogyakarta → Kotagede → Borobudur → …,https://www.virtuoso.com/advisor/brianharris/tours/16555165/venturing-java-by-train
39,Yacht,Honolulu to Papeete (13 days),Ritz-Carlton Yacht Collection,Evrima,13,"Honolulu, HI United States","Papeete, French Polynesia",01 Dec 2027 - 13 Dec 2027,1,8,7,Honolulu → Hilo → Kailua Kona → Kahului → Fanning Island → Bora Bora → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18404542/honolulu-to-papeete-01dec2027-13dec2027
40,Yacht,A Transatlantic Renewal (15 days),Orient Express Sailing Yachts,Orient Express Corinthian,15,"Bridgetown, Barbados","Lisbon, Portugal",05 Mar 2027 - 19 Mar 2027,2,3,10,Bridgetown → Ponta Delgada → Lisbon,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18361771/a-transatlantic-renewal-05mar2027-19mar2027
41,Yacht,Grand Mediterranean Featuring Egypt (15 days),Four Seasons Yachts,Four Seasons I,15,"Piraeus, Greece","Piraeus, Greece",18 Apr 2027 - 02 May 2027,2,9,4,Piraeus → Pátmos → Bodrum → Marassi Marina → Alexandria → Marassi Marina → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18377018/grand-mediterranean-featuring-egypt-18apr2027-02may2027
42,Yacht,Hong Kong to Bali (14 days),Ritz-Carlton Yacht Collection,Luminara,14,"Hong Kong, China","Bali, Indonesia",03 Jan 2027 - 16 Jan 2027,2,9,5,Hong Kong → Salomague Port → El Nido → Busuanga → Boracay → Cebu → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18121088/hong-kong-to-bali-03jan2027-16jan2027
43,Yacht,Reykjavík to London (Greenwich) (11 days),Ritz-Carlton Yacht Collection,Evrima,11,"Reykjavík, Iceland","Greenwich, United Kingdom",18 Aug 2026 - 28 Aug 2026,1,8,3,Reykjavík → Grundarfjörður → Heimaey → Tórshavn → Lerwick → Kirkwall → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/16912923/reykjavik-to-london-greenwich-18aug2026-28aug2026
44,Yacht,"A Voyage of Glamour, Grandeur, and Gastronomy (12 days)",Orient Express Sailing Yachts,Orient Express Olympian,12,"London, United Kingdom","Lisbon, Portugal",16 Aug 2027 - 27 Aug 2027,2,7,3,London → Torquay → Saint-Malo → Bordeaux → Bilbao → Porto → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18478892/a-voyage-of-glamour-grandeur-and-gastronomy-16aug2027-27aug2027
45,Yacht,Bali to Phuket (12 days),Ritz-Carlton Yacht Collection,Luminara,12,"Bali, Indonesia","Phuket, Thailand",21 Jan 2027 - 01 Feb 2027,1,8,3,Bali → Ta'aktana → Komodo Island (Indonesia) → Semarang → Singapore → Penang → …,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/18121091/bali-to-phuket-21jan2027-01feb2027
46,Expedition,Ross Sea Odyssey,Aurora Expeditions,Greg Mortimer,26,Antarctica,Antarctica,2026-12-14,1,,,,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/ross-sea-odyssey-14dec2026-08jan2027
47,Expedition,"Antarctica, Chilean Fjords, Easter Island, and Pitcairn Islands",Seabourn,Seabourn Pursuit,45,Antarctica,Antarctica,2027-03-13,1,,,,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/antarctica-chilean-fjords-easter-island-and-pitcairn-islands-13mar2027-26apr2027
48,Expedition,From Fiji to Micronesia,PONANT EXPLORATIONS,Le Jacques Cartier,17,"Australia, NZ & South Pacific","Australia, NZ & South Pacific",2027-02-20,1,,,,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/from-fiji-to-micronesia-20feb2027-08mar2027
49,Expedition,An Escapade in The Heart of Melanesia,PONANT EXPLORATIONS,Le Jacques Cartier,17,"Australia, NZ & South Pacific","Australia, NZ & South Pacific",2027-09-04,1,,,,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/an-escapade-in-the-heart-of-melanesia-04sep2027-20sep2027
50,Expedition,"Scoresbysund, Northwest Passage, and High Arctic",Seabourn,Seabourn Venture,64,Arctic,Arctic,2027-07-17,1,,,,https://www.virtuoso.com/advisor/brianharris/cruises/sailings/scoresbysund-northwest-passage-and-high-arctic-17jul2027-18sep2027
